dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,balanced_accuracy__train,accuracy__train,recall__train,precision__train,f1_score__train,balanced_accuracy__test,accuracy__test,recall__test,precision__test,f1_score__test
seismic-bumps.arff,decision_tree,0.025428898999962257,0.025507375999950455,0.025428295135498047,29,0,4.896551724137931,142,0.0,0.0,0.6457287702113249,0.9474557522123894,0.6457287702113249,0.8412878787878788,0.6983570857810208,0.5340301156084449,0.913659793814433,0.5340301156084449,0.5722517730496454,0.5422232005282853
sick-euthyroid.arff,algorithm_rulekit,0.7482916620001561,2.034949425999912,0.9357976913452148,45,0,3.7111111111111112,167,0.94,0.54,0.9152179090259586,0.9848484848484849,0.9152179090259586,0.9554074244339731,0.9342360924281828,0.9311582556519875,0.9867491166077739,0.9311582556519875,0.9379353233830845,0.9345167622433986
sick-euthyroid.arff,algorithm_cer,13.73422379800013,13.73956933799991,13.753699779510498,44,0,3.9545454545454546,174,0.93,0.56,0.912479161705168,0.9848484848484849,0.912479161705168,0.9579878151971569,0.9338543141268645,0.9316251090600174,0.9876325088339223,0.9316251090600174,0.9454246765760501,0.9384017412935324
sick-euthyroid.arff,algorithm_cer_with_exceptions_prediction_type_0,46.932373708999876,46.949148874,47.0120735168457,17,0,3.0588235294117645,52,0.84,0.59,0.923231721838533,0.984469696969697,0.923231721838533,0.9452682032175868,0.9339242142970077,0.9374875633313435,0.9840989399293286,0.9374875633313435,0.912104390454906,0.9243618869437391
sick-euthyroid.arff,algorithm_cer_with_exceptions_prediction_type_1,46.932373708999876,46.949148874,47.0120735168457,17,0,3.0588235294117645,52,0.84,0.59,0.923231721838533,0.984469696969697,0.923231721838533,0.9452682032175868,0.9339242142970077,0.9374875633313435,0.9840989399293286,0.9374875633313435,0.912104390454906,0.9243618869437391
sick-euthyroid.arff,algorithm_cer_with_exceptions_prediction_type_2,46.932373708999876,46.949148874,47.0120735168457,17,0,3.0588235294117645,52,0.84,0.59,0.923231721838533,0.984469696969697,0.923231721838533,0.9452682032175868,0.9339242142970077,0.9374875633313435,0.9840989399293286,0.9374875633313435,0.912104390454906,0.9243618869437391
sick-euthyroid.arff,algorithm_cer_with_exceptions_prediction_type_3,46.932373708999876,46.949148874,47.0120735168457,17,0,3.0588235294117645,52,0.84,0.59,0.923231721838533,0.984469696969697,0.923231721838533,0.9452682032175868,0.9339242142970077,0.9374875633313435,0.9840989399293286,0.9374875633313435,0.912104390454906,0.9243618869437391
sick-euthyroid.arff,decision_tree,0.08229838899978859,0.08234423500016419,0.08229732513427734,20,0,4.55,91,0.0,0.0,0.9495951417004049,0.9928030303030303,0.9495951417004049,0.9901278639579412,0.9688519754715517,0.9065680917175614,0.9840989399293286,0.9065680917175614,0.9334802121583028,0.9195349645378867
sonar.arff,algorithm_rulekit,0.15041746999986572,0.36606814300012047,0.1719803810119629,18,0,2.6666666666666665,48,1.0,0.35,1.0,1.0,1.0,1.0,1.0,0.775,0.7777777777777778,0.775,0.775,0.775
sonar.arff,algorithm_cer,5.041458774000148,5.93057068600001,5.358426332473755,16,0,2.75,44,1.0,0.38,0.9782608695652174,0.9793103448275862,0.9782608695652174,0.9810126582278481,0.9792114695340501,0.7571428571428571,0.7619047619047619,0.7571428571428571,0.7592592592592593,0.7580025608194623
sonar.arff,algorithm_cer_with_exceptions_prediction_type_0,50.072714560999884,50.08839371099975,50.19132113456726,16,2,1.375,22,0.91,0.41,0.8769069412662089,0.8758620689655172,0.8769069412662089,0.8760464231354642,0.8758089074990483,0.6964285714285714,0.6984126984126984,0.6964285714285714,0.6952332657200812,0.6956521739130435
sonar.arff,algorithm_cer_with_exceptions_prediction_type_1,50.072714560999884,50.08839371099975,50.19132113456726,16,2,1.375,22,0.91,0.41,0.8769069412662089,0.8758620689655172,0.8769069412662089,0.8760464231354642,0.8758089074990483,0.6964285714285714,0.6984126984126984,0.6964285714285714,0.6952332657200812,0.6956521739130435
sonar.arff,algorithm_cer_with_exceptions_prediction_type_2,50.072714560999884,50.08839371099975,50.19132113456726,16,2,1.375,22,0.91,0.41,0.8841533180778032,0.8827586206896552,0.8841533180778032,0.8834221545489152,0.8827363113077399,0.6821428571428572,0.6825396825396826,0.6821428571428572,0.6803030303030303,0.6805273833671399
sonar.arff,algorithm_cer_with_exceptions_prediction_type_3,50.072714560999884,50.08839371099975,50.19132113456726,16,2,1.375,22,0.91,0.41,0.8841533180778032,0.8827586206896552,0.8841533180778032,0.8834221545489152,0.8827363113077399,0.6964285714285714,0.6984126984126984,0.6964285714285714,0.6952332657200812,0.6956521739130435
sonar.arff,decision_tree,0.019724543999927846,0.019780767999691307,0.019724607467651367,12,0,3.75,45,0.0,0.0,0.9716819221967963,0.9724137931034482,0.9716819221967963,0.9733065442020665,0.9723071046600458,0.7535714285714286,0.746031746031746,0.7535714285714286,0.752028397565923,0.7459677419354839
soybean.arff,algorithm_rulekit,0.2000958650000939,0.6869293670001753,0.452512264251709,39,0,3.0256410256410255,118,0.9,0.67,0.958935072717156,0.9372384937238494,0.958935072717156,0.9770030585220705,0.9648139693141398,0.9205536276588909,0.8926829268292683,0.9205536276588909,0.9478584784846128,0.9289472739163143
soybean.arff,algorithm_cer,0.6919005019999531,0.6921454999996968,0.6919145584106445,34,0,2.9705882352941178,101,0.9,0.71,0.9414976511775672,0.9163179916317992,0.9414976511775672,0.9709567479304322,0.9503773020037872,0.9206914722704196,0.8926829268292683,0.9206914722704196,0.951183789513309,0.9292748816297991
soybean.arff,algorithm_cer_with_exceptions_prediction_type_0,2.887204607000058,2.8883815040003356,2.8877100944519043,34,0,2.9705882352941178,101,0.9,0.71,0.9414976511775672,0.9163179916317992,0.9414976511775672,0.9709567479304322,0.9503773020037872,0.9206914722704196,0.8926829268292683,0.9206914722704196,0.951183789513309,0.9292748816297991
soybean.arff,algorithm_cer_with_exceptions_prediction_type_1,2.887204607000058,2.8883815040003356,2.8877100944519043,34,0,2.9705882352941178,101,0.9,0.71,0.9414976511775672,0.9163179916317992,0.9414976511775672,0.9709567479304322,0.9503773020037872,0.9206914722704196,0.8926829268292683,0.9206914722704196,0.951183789513309,0.9292748816297991
soybean.arff,algorithm_cer_with_exceptions_prediction_type_2,2.887204607000058,2.8883815040003356,2.8877100944519043,34,0,2.9705882352941178,101,0.9,0.71,0.9414976511775672,0.9163179916317992,0.9414976511775672,0.9709567479304322,0.9503773020037872,0.9206914722704196,0.8926829268292683,0.9206914722704196,0.951183789513309,0.9292748816297991
soybean.arff,algorithm_cer_with_exceptions_prediction_type_3,2.887204607000058,2.8883815040003356,2.8877100944519043,34,0,2.9705882352941178,101,0.9,0.71,0.9414976511775672,0.9163179916317992,0.9414976511775672,0.9709567479304322,0.9503773020037872,0.9206914722704196,0.8926829268292683,0.9206914722704196,0.951183789513309,0.9292748816297991
soybean.arff,decision_tree,0.03587791100017057,0.03594050799983961,0.035877227783203125,11,0,3.8181818181818183,42,0.0,0.0,0.4879096568400473,0.602510460251046,0.4879096568400473,0.40583584482326945,0.4155126717957508,0.49943319838056677,0.5707317073170731,0.49943319838056677,0.3668241115609537,0.38089523438540024
